customerID,gender,senior_citizen,married,dependents,tenure_months,phone_service,internet_service,security_service,technical_support,streaming_tv,contract_type,payment_method,monthly_payment,total_paid,churn
7590-VHVEG,female,0,yes,no,1,no,dsl,no,no,no,month-to-month,electronic check,29.85,29.85,no
5575-GNVDE,male,0,no,no,34,yes,dsl,yes,no,no,one year,mailed check,56.95,1889.5,no
3668-QPYBK,male,0,no,no,2,yes,dsl,yes,no,no,month-to-month,mailed check,53.85,108.15,yes
7795-CFOCW,male,0,no,no,45,no,dsl,yes,yes,no,one year,bank transfer (automatic),70.55,1840.75,no
8191-XWSZG,female,0,no,no,52,yes,no,no internet service,no internet service,no internet service,one year,mailed check,70.55,1022.95,no
9959-WOFKT,male,0,no,yes,71,yes,fiber optic,yes,no,yes,two year,bank transfer (automatic),70.55,7382.25,no
4190-MFLUW,female,0,yes,yes,10,yes,dsl,no,yes,no,month-to-month,credit card (automatic),70.55,528.35,yes
4183-MYFRB,female,0,no,no,21,yes,fiber optic,no,no,no,month-to-month,electronic check,70.55,1862.9,no
8779-QRDMV,male,1,no,no,1,no,dsl,no,no,no,month-to-month,electronic check,70.55,39.65,yes
1680-VDCWW,male,0,yes,no,12,yes,no,no internet service,no internet service,no internet service,one year,bank transfer (automatic),70.55,202.25,no
1066-JKSGK,male,0,no,no,1,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,70.55,20.15,yes
3638-WEABW,female,0,yes,no,58,yes,dsl,no,yes,no,two year,credit card (automatic),70.55,3505.1,no
6322-HRPFA,male,0,yes,yes,49,yes,dsl,yes,yes,no,month-to-month,credit card (automatic),70.55,2970.3,no
6865-JZNKO,female,0,no,no,30,yes,dsl,yes,no,no,month-to-month,bank transfer (automatic),70.55,1530.6,no
6467-CHFZW,male,0,yes,yes,47,yes,fiber optic,no,no,yes,month-to-month,electronic check,70.55,4749.15,yes
8665-UTDHZ,male,0,yes,yes,1,no,dsl,no,no,no,month-to-month,electronic check,70.55,30.2,yes
5248-YGIJN,male,0,yes,no,72,yes,dsl,yes,yes,yes,two year,credit card (automatic),70.55,6369.45,no
8773-HHUOZ,female,0,no,yes,17,yes,dsl,no,no,yes,month-to-month,mailed check,70.55,1093.1,yes
3841-NFECX,female,1,yes,no,71,yes,fiber optic,yes,yes,no,two year,credit card (automatic),70.55,6766.95,no
4929-XIHVW,male,1,yes,no,2,yes,fiber optic,no,no,yes,month-to-month,credit card (automatic),70.55,181.65,no
6827-IEAUQ,female,0,yes,yes,27,yes,dsl,yes,yes,no,one year,mailed check,70.55,1874.45,no
7310-EGVHZ,male,0,no,no,1,yes,no,no internet service,no internet service,no internet service,month-to-month,bank transfer (automatic),70.55,20.2,no
3413-BMNZE,male,1,no,no,1,yes,dsl,no,no,no,month-to-month,bank transfer (automatic),70.55,45.25,no
6234-RAAPL,female,0,yes,yes,72,yes,fiber optic,yes,yes,yes,two year,bank transfer (automatic),70.55,7251.7,no
6047-YHPVI,male,0,no,no,5,yes,fiber optic,no,no,no,month-to-month,electronic check,70.55,316.9,yes
6572-ADKRS,female,0,no,no,46,yes,fiber optic,no,no,no,month-to-month,credit card (automatic),70.55,3548.3,no
5380-WJKOV,male,0,no,no,34,yes,fiber optic,no,no,yes,month-to-month,electronic check,70.55,3549.25,yes
8168-UQWWF,female,0,no,no,11,yes,fiber optic,no,no,yes,month-to-month,bank transfer (automatic),70.55,1105.4,yes
8865-TNMNX,male,0,yes,yes,10,yes,dsl,no,no,no,one year,mailed check,70.55,475.7,no
9489-DEDVP,female,0,yes,yes,70,yes,dsl,yes,no,yes,two year,credit card (automatic),70.55,4872.35,no
9867-JCZSP,female,0,yes,yes,17,yes,no,no internet service,no internet service,no internet service,one year,mailed check,70.55,418.25,no
4671-VJLCL,female,0,no,no,63,yes,dsl,yes,yes,yes,two year,credit card (automatic),70.55,4861.45,no
4080-IIARD,female,0,yes,no,13,yes,dsl,yes,yes,yes,month-to-month,electronic check,70.55,981.45,no
3714-NTNFO,female,0,no,no,49,yes,fiber optic,no,no,no,month-to-month,electronic check,70.55,3906.7,no
